,event_name,DC Correction/,New Segment/,Response/Reaction,Stimulus/Frequent,Stimulus/Rare
290,Stimulus/Frequent,,,,0.0,
291,Stimulus/Frequent,,,,0.0,
292,Stimulus/Frequent,,,,0.0,
293,Stimulus/Rare,,,0.452,,0.0
294,Response/Reaction,,,0.0,0.944,-0.452
295,Stimulus/Frequent,,,,0.0,
296,Stimulus/Frequent,,,,0.0,
297,Stimulus/Frequent,,,,0.0,
298,Stimulus/Frequent,,,,0.0,
299,Stimulus/Frequent,,,,0.0,
300,Stimulus/Frequent,,,0.192,0.0,
301,Response/Reaction,,,0.0,-0.192,
302,Stimulus/Rare,,,0.22,,0.0
303,Response/Reaction,,,0.0,,-0.22
304,Stimulus/Frequent,,,,0.0,
305,Stimulus/Frequent,,,,0.0,
306,Stimulus/Frequent,,,,0.0,
307,Stimulus/Frequent,,,,0.0,
308,Stimulus/Rare,,,0.368,,0.0
309,Response/Reaction,,,0.0,,-0.368
310,Stimulus/Frequent,,,,0.0,
311,Stimulus/Frequent,,,,0.0,
312,Stimulus/Rare,,,0.396,,0.0
313,Response/Reaction,,,0.0,1.0,-0.396
314,Stimulus/Frequent,,,,0.0,
315,Stimulus/Frequent,,,,0.0,
316,Stimulus/Frequent,,,,0.0,
317,Stimulus/Frequent,,,,0.0,
318,Stimulus/Frequent,,,,0.0,
319,Stimulus/Rare,,,0.292,,0.0
320,Response/Reaction,,,0.0,,-0.292
321,Stimulus/Frequent,,,,0.0,
322,Stimulus/Frequent,,,,0.0,
323,Stimulus/Frequent,,,,0.0,
324,Stimulus/Rare,,,0.372,,0.0
325,Response/Reaction,,,0.0,,-0.372
326,New Segment/,,0.0,,,
327,Stimulus/Frequent,,,,0.0,
328,Stimulus/Frequent,,,,0.0,
329,Stimulus/Frequent,,,,0.0,
330,Stimulus/Frequent,,,,0.0,
331,Stimulus/Rare,,,0.264,,0.0
332,Response/Reaction,,,0.0,,-0.264
333,Stimulus/Frequent,,,,0.0,
334,Stimulus/Frequent,,,,0.0,
335,Stimulus/Frequent,,,,0.0,
336,Stimulus/Rare,,,0.336,,0.0
337,Response/Reaction,,,0.0,,-0.336
338,Stimulus/Frequent,,,,0.0,
339,Stimulus/Frequent,,,,0.0,
340,Stimulus/Frequent,,,,0.0,
341,Stimulus/Frequent,,,,0.0,
342,Stimulus/Frequent,,,,0.0,
343,Stimulus/Frequent,,,,0.0,
344,Stimulus/Rare,,,0.308,,0.0
345,Response/Reaction,,,0.0,,-0.308
346,Stimulus/Frequent,,,,0.0,
347,Stimulus/Frequent,,,,0.0,
348,Stimulus/Frequent,,,,0.0,
349,Stimulus/Rare,,,0.344,,0.0
350,Response/Reaction,,,0.0,,-0.344
351,Stimulus/Frequent,,,,0.0,
352,Stimulus/Frequent,,,,0.0,
353,Stimulus/Frequent,,,,0.0,
354,Stimulus/Frequent,,,,0.0,
355,Stimulus/Frequent,,,,0.0,
356,Stimulus/Rare,,,0.268,,0.0
357,Response/Reaction,,,0.0,,-0.268
358,Stimulus/Frequent,,,,0.0,
359,Stimulus/Frequent,,,,0.0,
360,Stimulus/Rare,,,0.352,,0.0
361,Response/Reaction,,,0.0,,-0.352
362,Stimulus/Frequent,,,,0.0,
363,Stimulus/Frequent,,,,0.0,
364,Stimulus/Frequent,,,,0.0,
365,Stimulus/Frequent,,,,0.0,
366,Stimulus/Rare,,,0.344,,0.0
367,Response/Reaction,,,0.0,,-0.344
368,Stimulus/Frequent,,,,0.0,
369,Stimulus/Frequent,,,,0.0,
370,Stimulus/Frequent,,,,0.0,
371,DC Correction/,0.0,,,0.368,
372,Stimulus/Frequent,-0.368,,,0.0,
373,Stimulus/Frequent,,,,0.0,
374,Stimulus/Rare,,,0.188,,0.0
375,Response/Reaction,,,0.0,,-0.188
376,Stimulus/Frequent,,,,0.0,
377,Stimulus/Frequent,,,,0.0,
378,Stimulus/Frequent,,,,0.0,
379,Stimulus/Rare,,,0.38,,0.0
380,Response/Reaction,,,0.0,,-0.38
381,Stimulus/Frequent,,,,0.0,
382,Stimulus/Frequent,,,,0.0,
383,Stimulus/Frequent,,,,0.0,
384,Stimulus/Frequent,,,,0.0,
385,Stimulus/Frequent,,,,0.0,
386,Stimulus/Frequent,,,,0.0,
387,Stimulus/Rare,,,0.236,,0.0
388,Response/Reaction,,,0.0,,-0.236
389,Stimulus/Frequent,,,,0.0,
390,Stimulus/Frequent,,,,0.0,
391,Stimulus/Frequent,,,,0.0,
392,Stimulus/Frequent,,,,0.0,
393,Stimulus/Rare,,,0.324,,0.0
394,Response/Reaction,,,0.0,,-0.324
395,Stimulus/Frequent,,,,0.0,
396,Stimulus/Frequent,,,,0.0,
397,Stimulus/Rare,,,0.36,,0.0
398,Response/Reaction,,,0.0,,-0.36
399,Stimulus/Frequent,,,,0.0,
400,Stimulus/Frequent,,,,0.0,
401,Stimulus/Frequent,,,,0.0,
402,Stimulus/Frequent,,,,0.0,
403,Stimulus/Frequent,,,,0.0,
404,Stimulus/Rare,,,0.408,,0.0
405,Response/Reaction,,,0.0,0.988,-0.408
406,Stimulus/Frequent,,,,0.0,
407,Stimulus/Frequent,,,,0.0,
408,Stimulus/Frequent,,,,0.0,
409,Stimulus/Frequent,,,,0.0,
410,Stimulus/Rare,,,0.268,,0.0
411,Response/Reaction,,,0.0,,-0.268
412,Stimulus/Frequent,,,,0.0,
413,Stimulus/Frequent,,,,0.0,
414,Stimulus/Frequent,,,,0.0,
415,Stimulus/Rare,,,0.34,,0.0
416,Response/Reaction,,,0.0,,-0.34
417,Stimulus/Frequent,,,,0.0,
418,Stimulus/Frequent,,,,0.0,
419,Stimulus/Frequent,,,,0.0,
420,Stimulus/Frequent,,,,0.0,
421,Stimulus/Frequent,,,,0.0,
422,Stimulus/Frequent,,,,0.0,
423,Stimulus/Rare,,,0.26,,0.0
424,Response/Reaction,,,0.0,,-0.26
425,Stimulus/Frequent,,,,0.0,
426,Stimulus/Frequent,,,,0.0,
427,Stimulus/Frequent,,,,0.0,
428,Stimulus/Rare,,,0.36,,0.0
429,Response/Reaction,,,0.0,,-0.36
430,Stimulus/Frequent,,,,0.0,
431,Stimulus/Frequent,,,,0.0,
432,Stimulus/Frequent,,,,0.0,
433,Stimulus/Frequent,,,,0.0,
434,Stimulus/Frequent,,,,0.0,
435,Stimulus/Rare,,,0.276,,0.0
436,Response/Reaction,,,0.0,,-0.276
437,Stimulus/Frequent,,,,0.0,
438,Stimulus/Frequent,,,,0.0,
439,Stimulus/Rare,,,0.38,,0.0
440,Response/Reaction,,,0.0,,-0.38
441,Stimulus/Frequent,,,,0.0,
442,Stimulus/Frequent,,,,0.0,
443,Stimulus/Frequent,,,,0.0,
444,Stimulus/Frequent,,,,0.0,
445,Stimulus/Rare,,,0.384,,0.0
446,Response/Reaction,,,0.0,,-0.384
447,Stimulus/Frequent,,,,0.0,
448,Stimulus/Frequent,,,,0.0,
449,Stimulus/Frequent,,,,0.0,
450,Stimulus/Frequent,,,,0.0,
451,Stimulus/Frequent,,,,0.0,
452,Stimulus/Rare,,,0.36,,0.0
453,Response/Reaction,,,0.0,,-0.36
454,Stimulus/Frequent,,,,0.0,
455,Stimulus/Frequent,,,,0.0,
456,Stimulus/Frequent,,,,0.0,
457,Stimulus/Rare,,,0.412,,0.0
458,Response/Reaction,,,0.0,0.98,-0.412
459,Stimulus/Frequent,,,,0.0,
460,Stimulus/Frequent,,,,0.0,
461,Stimulus/Frequent,,,,0.0,
462,Stimulus/Frequent,,,,0.0,
463,Stimulus/Frequent,,,,0.0,
464,Stimulus/Frequent,,,,0.0,
465,Stimulus/Rare,,,0.288,,0.0
466,Response/Reaction,,,0.0,,-0.288
467,Stimulus/Frequent,,,,0.0,
468,Stimulus/Frequent,,,,0.0,
469,Stimulus/Frequent,,,,0.0,
470,Stimulus/Frequent,,,,0.0,
471,Stimulus/Rare,,,0.2,,0.0
472,Response/Reaction,,,0.0,,-0.2
473,Stimulus/Frequent,,,,0.0,
474,Stimulus/Frequent,,,,0.0,
475,Stimulus/Rare,,,0.392,,0.0
476,Response/Reaction,,,0.0,1.004,-0.392
477,Stimulus/Frequent,,,,0.0,
478,Stimulus/Frequent,,,,0.0,
479,Stimulus/Frequent,,,,0.0,
480,Stimulus/Frequent,,,,0.0,
481,Stimulus/Frequent,,,,0.0,
482,Stimulus/Rare,,,0.236,,0.0
483,Response/Reaction,,,0.0,,-0.236
484,Stimulus/Frequent,,,,0.0,
485,Stimulus/Frequent,,,,0.0,
486,Stimulus/Frequent,,,,0.0,
487,Stimulus/Rare,,,0.396,,0.0
488,Response/Reaction,,,0.0,,-0.396
