,event_name,response/left,response/right,stimulus/compatible/target_left,stimulus/compatible/target_right,stimulus/incompatible/target_left,stimulus/incompatible/target_right,stimulus,response,first_stimulus,first_response
602,stimulus/incompatible/target_left,,0.412109375,,,0.0,1.5,0.0,0.412109375,incompatible/target_left,right
604,stimulus/incompatible/target_right,0.328125,,,,,0.0,0.0,0.328125,incompatible/target_right,left
606,stimulus/compatible/target_left,0.484375,,0.0,1.4833984375,,,0.0,0.484375,compatible/target_left,left
608,stimulus/compatible/target_right,,0.392578125,,0.0,,,0.0,0.392578125,compatible/target_right,right
610,stimulus/compatible/target_right,,0.4267578125,,0.0,,,0.0,0.4267578125,compatible/target_right,right
612,stimulus/compatible/target_right,,0.4052734375,,0.0,,,0.0,0.4052734375,compatible/target_right,right
614,stimulus/incompatible/target_right,0.4150390625,,,,,0.0,0.0,0.4150390625,incompatible/target_right,left
616,stimulus/incompatible/target_left,0.5712890625,,,,0.0,,0.0,0.5712890625,incompatible/target_left,left
618,stimulus/incompatible/target_left,0.5625,,,,0.0,1.4169921875,0.0,0.5625,incompatible/target_left,left
620,stimulus/incompatible/target_right,0.384765625,,,,,0.0,0.0,0.384765625,incompatible/target_right,left
622,stimulus/incompatible/target_right,0.294921875,,,1.44921875,,0.0,0.0,0.294921875,incompatible/target_right,left
624,stimulus/compatible/target_right,,0.318359375,,0.0,,,0.0,0.318359375,compatible/target_right,right
626,stimulus/compatible/target_right,,0.3681640625,,0.0,1.4990234375,,0.0,0.3681640625,compatible/target_right,right
628,stimulus/incompatible/target_left,,0.373046875,1.416015625,,0.0,,0.0,0.373046875,incompatible/target_left,right
630,stimulus/compatible/target_left,0.4931640625,,0.0,,,1.5,0.0,0.4931640625,compatible/target_left,left
632,stimulus/incompatible/target_right,,0.46484375,,,,0.0,0.0,0.46484375,incompatible/target_right,right
634,stimulus/compatible/target_left,0.3623046875,,0.0,,,,0.0,0.3623046875,compatible/target_left,left
636,stimulus/compatible/target_right,,0.4755859375,,0.0,,,0.0,0.4755859375,compatible/target_right,right
638,stimulus/compatible/target_right,,0.3701171875,,0.0,,,0.0,0.3701171875,compatible/target_right,right
640,stimulus/incompatible/target_right,,0.2939453125,,,,0.0,0.0,0.2939453125,incompatible/target_right,right
642,stimulus/compatible/target_right,,0.416015625,,0.0,1.4833984375,,0.0,0.416015625,compatible/target_right,right
644,stimulus/incompatible/target_left,0.484375,,1.4658203125,,0.0,,0.0,0.484375,incompatible/target_left,left
